,Vdc,Idc,Pac
2019-08-05 17:45:00+00:00,562.0,10.0,5233.0
2019-08-05 18:00:00+00:00,559.0,8.2899999619,4217.0
2019-08-05 18:15:00+00:00,560.0,8.4399995804,4291.0
2019-08-05 18:30:00+00:00,548.0,5.6100001335,2637.0
2019-08-05 18:45:00+00:00,530.0,3.4600000381,1405.0
2019-08-05 19:00:00+00:00,514.0,2.1700000763,702.0
2019-08-05 19:15:00+00:00,482.0,1.3899999857,266.0
2019-08-05 19:30:00+00:00,561.0,0.0599999987,-61.0
2019-08-06 05:00:00+00:00,441.0,0.0299999993,1.0
2019-08-06 05:15:00+00:00,515.0,0.019999999600000002,2.0
2019-08-06 05:30:00+00:00,572.0,0.019999999600000002,2.0
2019-08-06 05:45:00+00:00,605.0,0.0399999991,2.0
2019-08-06 06:00:00+00:00,478.0,1.4700000286,228.0
2019-08-06 06:15:00+00:00,528.0,1.8899999857,494.0
2019-08-06 06:30:00+00:00,536.0,2.5899999142,876.0
2019-08-06 06:45:00+00:00,543.0,3.2899999619,1265.0
2019-08-06 07:00:00+00:00,556.0,4.4400000572,1942.0
2019-08-06 07:15:00+00:00,580.0,5.7399997711,2762.0
2019-08-06 07:30:00+00:00,588.0,8.7700004578,4559.0
2019-08-06 07:45:00+00:00,594.0,12.470000267,6762.0
2019-08-06 08:00:00+00:00,594.0,16.3899993896,9073.0
2019-08-06 08:15:00+00:00,593.0,20.8799991608,11673.0
2019-08-06 08:30:00+00:00,588.0,23.9899997711,13411.0
2019-08-06 08:45:00+00:00,587.0,29.0300006866,16275.0
2019-08-06 09:00:00+00:00,581.0,33.9199981689,18942.0
2019-08-06 09:15:00+00:00,576.0,36.9799995422,20564.0
2019-08-06 09:30:00+00:00,570.0,40.8199996948,22554.0
2019-08-06 09:45:00+00:00,566.0,50.8600006104,27980.0
2019-08-06 10:00:00+00:00,554.0,56.1100006104,30345.0
2019-08-06 10:15:00+00:00,553.0,46.6699981689,25176.0
2019-08-06 10:30:00+00:00,557.0,51.7000007629,28105.0
2019-08-06 10:45:00+00:00,548.0,58.5200004578,31339.0
2019-08-06 11:00:00+00:00,538.0,77.3199996948,40830.0
2019-08-06 11:15:00+00:00,521.0,92.4400024414,47198.0
2019-08-06 11:30:00+00:00,516.0,89.1399993896,45064.0
2019-08-06 11:45:00+00:00,506.0,95.0800018311,47199.0
2019-08-06 12:00:00+00:00,521.0,68.2799987793,34901.0
2019-08-06 12:15:00+00:00,523.0,79.0500030518,40528.0
2019-08-06 12:30:00+00:00,510.0,89.8700027466,44904.0
2019-08-06 12:45:00+00:00,516.0,76.4499969482,38688.0
2019-08-06 13:00:00+00:00,532.0,59.8199996948,31195.0
2019-08-06 13:15:00+00:00,537.0,57.9700012207,30522.0
2019-08-06 13:30:00+00:00,543.0,58.1800003052,30870.0
2019-08-06 13:45:00+00:00,525.0,74.1299972534,38119.0
2019-08-06 14:00:00+00:00,539.0,39.6300010681,20880.0
2019-08-06 14:15:00+00:00,547.0,58.1800003052,31060.0
2019-08-06 14:30:00+00:00,529.0,79.2399978638,40992.0
2019-08-06 14:45:00+00:00,516.0,83.5100021362,42265.0
2019-08-06 15:00:00+00:00,519.0,79.25,40463.0
2019-08-06 15:15:00+00:00,516.0,84.9700012207,43001.0
2019-08-06 15:30:00+00:00,524.0,40.5699996948,20755.0
2019-08-06 15:45:00+00:00,548.0,47.4700012207,25521.0
2019-08-06 16:00:00+00:00,543.0,71.5100021362,38039.0
2019-08-06 16:15:00+00:00,534.0,65.7699966431,34530.0
2019-08-06 16:30:00+00:00,538.0,65.9499969482,34774.0
2019-08-06 16:45:00+00:00,536.0,54.1899986267,28513.0
2019-08-06 17:00:00+00:00,541.0,19.2600002289,9988.0
2019-08-06 17:15:00+00:00,548.0,11.9799995422,6148.0
2019-08-06 17:30:00+00:00,559.0,13.7100000381,7204.0
2019-08-06 17:45:00+00:00,556.0,11.2600002289,5832.0
2019-08-06 18:00:00+00:00,544.0,5.6500000954,2657.0
2019-08-06 18:15:00+00:00,537.0,4.5199999809,2013.0
2019-08-06 18:30:00+00:00,549.0,5.6100001335,2662.0
2019-08-06 18:45:00+00:00,526.0,3.6199998856,1468.0
2019-08-06 19:00:00+00:00,520.0,2.5099999905,882.0
2019-08-06 19:15:00+00:00,497.0,0.9900000095,122.0
2019-08-06 19:30:00+00:00,536.0,-0.0299999993,-17.0
2019-08-07 05:00:00+00:00,443.0,0.1299999952,3.0
2019-08-07 05:15:00+00:00,536.0,0.1099999994,1.0
2019-08-07 05:30:00+00:00,550.0,1.2599999905,313.0
2019-08-07 05:45:00+00:00,531.0,2.5699999332,822.0
2019-08-07 06:00:00+00:00,510.0,1.8200000525000002,427.0
2019-08-07 06:15:00+00:00,547.0,3.3699998856,1302.0
2019-08-07 06:30:00+00:00,580.0,5.6500000954,2662.0
2019-08-07 06:45:00+00:00,597.0,12.0399999619,6536.0
2019-08-07 07:00:00+00:00,576.0,8.0100002289,4064.0
2019-08-07 07:15:00+00:00,578.0,6.8299999237,3399.0
2019-08-07 07:30:00+00:00,582.0,7.6300001144,3858.0
2019-08-07 07:45:00+00:00,590.0,10.4099998474,5542.0
2019-08-07 08:00:00+00:00,601.0,21.1299991608,11988.0
2019-08-07 08:15:00+00:00,586.0,18.6399993896,10320.0
2019-08-07 08:30:00+00:00,580.0,11.6000003815,6165.0
2019-08-07 08:45:00+00:00,590.0,19.2700004578,10726.0
2019-08-07 09:00:00+00:00,590.0,20.7000007629,11571.0
